Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
20-May-15,18432.6,18619.6,18432.6,18555.15,42764836,1538.13
21-May-15,18593.85,18603.8,18398.65,18513.15,51708394,1736.47
22-May-15,18560.85,18755.45,18354.55,18433.3,110163572,3388.67
25-May-15,18405.05,18475.55,18302.5,18324.85,52100958,1703.7
26-May-15,18339.1,18378.2,18226,18329.3,35176215,1219.4
27-May-15,18299.65,18561.5,18236.25,18538.85,47772490,1601.13
28-May-15,18562.75,18639.65,18381.75,18449.2,78588818,2738.15
29-May-15,18486.4,18751.2,18461.45,18721.35,58085375,2009.08
01-Jun-15,18721.15,18832.5,18598.7,18617,35755937,1352.68
02-Jun-15,18656.05,18656.05,17932.3,17977.3,66799306,2331.6
03-Jun-15,17978.15,17978.15,17567.2,17721.4,73475921,2506.46
04-Jun-15,17757.35,17777.9,17469.65,17719.2,68045447,2316.6
05-Jun-15,17679.9,17786.5,17506.25,17549.25,59916302,2135.17
08-Jun-15,17542.5,17561.4,17358.45,17432.6,61733263,2014.79
09-Jun-15,17413.45,17560.5,17392.95,17489.9,57344058,1928.03
10-Jun-15,17485.9,17782,17485.9,17707.25,49732467,1851.67
11-Jun-15,17819.6,17821.9,17264.2,17304.4,75497870,2598.88
12-Jun-15,17298.45,17551.35,17174.7,17523.55,56900277,1978.75
15-Jun-15,17499.35,17579,17366.15,17458.7,51230225,1787.9
16-Jun-15,17368.45,17651.9,17293.45,17602.45,47541970,1693.78
17-Jun-15,17681.2,17692.55,17533.45,17584.05,50116633,1830.49
18-Jun-15,17661.9,17797.35,17630.65,17733.55,53456551,1930.96
19-Jun-15,17758.95,17935.3,17730.7,17880.85,45309746,1524.98
22-Jun-15,17956.55,18420.95,17950.6,18334.5,61419191,2154.12
23-Jun-15,18414.55,18499.6,18287.25,18391.35,61660708,2112.19
